ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
985	139	31	6	a	Nordenstadt	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			452992.054532755	5545986.50707193	detected		452992.0545	5545986507	
1086	151	7	21	dl	Dienheim	Oppenheim	Hessen	j	j	j	j	NA	detected			453298.489274002	5521088.19329322	detected		453298.4893	5521088193	
1237	151	31	11	d	Frankenthal	NA	RegBez. Pfalz (Bayern)	j	NA	j	j	Kreis nicht angegeben, vermutlich aber Frankenthal	not detected	Frankenthal	Pfalz	99999	99999	not detected	NANA	453411.07	5487432.12	f
1159	151	19	11	du	Rheindürkheim	Worms	Hessen	j	j	j	j	NA	detected			453694.923595163	5505229.48825919	detected		453694.9236	5505229488	
1053	151	1	1	do	Bischofsheim	Mainz	Hessen	j	j	j	j	NA	not detected	Mainz-Bischofsheim		999	999	not an unique name	prev. not unique	453736.0691	5537651726	found
1084	151	7	16	d	Oppenheim	Oppenheim	Hessen	j	j	j	j	NA	detected			453790.251832422	5522251.43548138	detected		453790.2518	5522251435	
1199	151	25	21	d	Bobenheim-Roxheim	BA. Frankenthal	RegBez. Pfalz (Bayern)	j	j	j	j	Eigentlich Bobenheim, ist auf dem Zettel aber als Babenheim vermerkt	not detected	Babenheim		453809.538297202	5492408.92874492	detected		453809.5383	5492408929	
1239	151	31	21	bu	Studernheim	BA. Frankenthal	RegBez. Pfalz (Bayern)	j	j	j	NA	NA	detected			453877.362522098	5484191.9518862	detected		453877.3625	5484191952	
961	139	25	6	d	Bremthal	Main-Taunuskreis	Hessen-Nassau	j	j	j	NA	NA	detected			454081.164477061	5554438.87255513	detected		454081.1645	5554438873	
427	125	25	16	dl	Daubhausen	Wetzlar	Hessen-Nassau	j	NA	NA	NA	NA	detected			454081.913403644	5606135.1957955	detected		454081.9134	5606135196	
1235	151	31	1	br	Roxheim	BA. Frankenthal	RegBez. Pfalz (Bayern)	j	j	j	NA	NA	detected			454095.207656335	5491995.13225122	detected		454095.2077	5491995132	
987	139	31	11	bo	Delkenheim	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			454292.332658237	5544029.36592185	detected		454292.3327	5544029366	
887	139	13	21	do	Niederems	Usingen	Hessen-Nassau	j	j	NA	NA	NA	detected			454476.486542662	5567222.94092108	detected		454476.4865	5567222941	
835	139	7	1	do	Rohnstadt	Oberlahnkreis	Hessen-Nassau	j	j	NA	NA	NA	detected			454549.571424859	5584024.31112015	detected		454549.5714	5584024311	
320	125	1	21	bd	Herbertshausen	Wittgenstein	Westfalen	NA	NA	NA	j	NA	detected			455024.000686822	5641412.74645598	detected		455024.0007	5641412746	
984	139	31	2	al	Breckenheim	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			455024.098314441	5547603.5633265	detected		455024.0983	5547603563	
986	139	31	7	al	Wallau	Main-Taunuskreis	Hessen-Nassau	j	j	NA	NA	NA	detected			999	999	not an unique name	prev. not unique	455050.7665	5545668587	found
