"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"343","125",7,23,"c","Oberhörlen","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,459192.629826935,5631614.28967493,"detected"
"344","125",8,1,"b","Biedenkopf","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,466593.236817716,5640268.88249403,"detected"
"345","125",8,13,"co","Buchenau","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,554128.544438824,5625808.30915998,"detected"
"346","125",8,21,"a","Hommertshausen","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,465348.034743248,5632759.55096253,"detected"
"348","125",9,4,"al","Oberrosphe","Marburg","Hessen-Nassau","j","j","j","j",NA,484174.938139114,5640052.0381184,"detected"
"349","125",9,13,"bd","Göttingen","Marburg","Hessen-Nassau","j","j","j","j",NA,484106.040319459,5635915.51193775,"detected"
"350","125",9,25,"bo","Ginseldorf","Marburg","Hessen-Nassau","j","j","j","j",NA,487298.003213456,5632081.3941788,"detected"
"352","125",10,10,"ac","Wolferode","Marburg","Hessen-Nassau","j","j","j","j",NA,499163.064470622,5637937.38114179,"detected"
"353","125",10,13,"ao","Rauschenberg","Marburg","Hessen-Nassau","j",NA,NA,NA,NA,494097.901377586,5636750.80898169,"detected"
"354","125",10,14,"c","Burgholz","Marburg","Hessen-Nassau","j",NA,NA,NA,NA,496608.615179482,5635725.50966082,"detected"
"355","125",10,22,"bd","Stausebach","Marburg","Hessen-Nassau","j","j","j","j",NA,493071.63649697,5632070.5021243,"detected"
"356","125",11,8,"bo","Mengsberg","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,507088.136164113,5638820.6467289,"detected"
"357","125",11,12,"cd","Speckswinkel","Marburg","Hessen-Nassau","j","j",NA,NA,NA,504144.465753421,5635448.05222674,"detected"
"359","125",12,8,"b","Steina","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,518544.925845621,5638326.27617543,"detected"
"362","125",13,8,"b","Frechenhausen","Biedenkopf","Hessen-Nassau",NA,NA,NA,"j",NA,460190.566257489,5628581.76256195,"detected"
"363","125",13,15,"a","Bottenhorn","Biedenkopf","Hessen-Nassau",NA,"j",NA,NA,NA,463266.547758935,5627124.62246613,"detected"
"364","125",13,19,"a","Wallenfels","Dillkreis","Hessen-Nassau","j",NA,NA,NA,NA,460856.597375481,5625318.40703376,"detected"
"366","125",14,12,"b","Runzhausen","Biedenkopf","Hessen-Nassau","j","j","j",NA,NA,469165.121852306,5627008.53940322,"detected"
"367","125",14,19,"cd","Rüchenbach","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,473619.572209556,5624226.27769888,"detected"
"371","125",15,6,"b","Elnhausen","Marburg","Hessen-Nassau","j","j",NA,NA,NA,478096.063656134,5628920.49739712,"detected"
"372","125",15,12,"c","Cyriaxweimar","Marburg","Hessen-Nassau","j","j","j","j",NA,480021.634849573,5625810.23960653,"detected"
"374","125",15,24,"bd","Beltershausen","Marburg","Hessen-Nassau","j","j","j","j",NA,486662.284214386,5623031.26057252,"detected"
"375","125",16,2,"a","Niederwald","Marburg","Hessen-Nassau","j","j","j","j",NA,491443.003984118,5630760.75570467,"detected"
"376","125",16,3,"c","Kirchhain","Marburg","Hessen-Nassau","j","j","j","j",NA,494428.244135857,5629911.58004959,"detected"
"377","125",16,4,"ao","Langenstein","Marburg","Hessen-Nassau","j","j",NA,NA,NA,497084.55654361,5631243.82085934,"detected"
"378","125",16,15,"a","Niederklein","Marburg","Hessen-Nassau","j","j","j","j",NA,499985.90408849,5626939.55625758,"detected"
"379","125",16,21,"b","Wittelsberg","Marburg","Hessen-Nassau","j","j","j","j",NA,489773.05395979,5623168.79564211,"detected"
"382","125",17,4,"au","Gleimenhain","Alsfeld","Hessen","j","j","j","j",NA,508219.591617275,5630348.76940154,"detected"
"384","125",17,17,"bu","Lehrbach","Alsfeld","Hessen","j","j","j","j",NA,503962.438347319,5624983.94757173,"detected"
"385","125",17,18,"du","Kirtorf","Alsfeld","Hessen","j","j","j","j",NA,507418.592925919,5624031.4025522,"detected"
"386","125",17,21,"b","Dannenrod","Alsfeld","Hessen","j",NA,NA,NA,NA,501819.703096537,5623125.73047014,"detected"
"387","125",18,3,"ar","Holzburg","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,518213.670020406,5630496.46502508,"detected"
"389","125",18,11,"du","Seibelsdorf","Alsfeld","Hessen","j","j","j","j",NA,513972.529887574,5625657.243069,"detected"
"390","125",18,16,"c","Ohmes","Alsfeld","Hessen","j","j","j","j",NA,512319.604598804,5624062.9152699,"detected"
"391","125",18,19,"dl","Eudorf","Alsfeld","Hessen",NA,"j","j",NA,NA,520612.627955112,5624077.97425757,"detected"
"392","125",18,20,"bl","Elbenrod","Alsfeld","Hessen","j","j","j",NA,NA,523328.974240908,5625357.11054476,"detected"
