,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
604,126,24,1,c,Urnshausen,Eisenach,Thüringen,j,j,j,j,NA,not detected,Urnshausen,Dermbach
611,126,25,6,co,Sickendorf ,Lauterbach,Hessen,j,j,NA,j,NA,not detected,Sickendorf,Lauterbach
612,126,25,7,d,Lauterbach,Lauterbach,Hessen,NA,j,NA,NA,NA,not detected,Lauterbach,Vogelsbergkreis
613,126,25,12,d,Blitzenrod ,Lauterbach,Hessen,j,j,j,j,NA,not detected,Blitzenrod,Lauterbach
619,126,26,22,c,Großenlüder ,Fulda,Hessen-Nassau,NA,NA,j,j,NA,not detected,Großenlüder,Fulda
623,126,28,6,bo,Mittelaschenbach,Hünfeld,Hessen-Nassau,NA,NA,NA,j,NA,not detected,Mittelaschenbach,Nüsttal
629,126,29,9,a,Klings ,Eisenach,Thüringen,j,j,j,j,NA,not detected,Klings,Kaltennordheim
648,126,31,23,b,Zahmen,Lauterbach,Hessen,j,j,j,j,NA,not detected,Zahmen,Grebenhain
654,126,33,12,ar,Bachrain ,Fulda,Hessen-Nassau,j,j,j,j,NA,not detected,Künzell-Bachrain,Künzell
656,126,34,11,d,Wolferts ,Fulda,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Wolferts,Dipperz
666,138,2,6,au,Oberbieber ,Neuwied,Rheinprovinz,j,j,j,NA,NA,not detected,Oberbieber,Neuwied
667,138,2,8,ab,Isenburg ,Neuwied,Rheinprovinz,j,NA,j,j,NA,not detected,Isenburg,Neuwied
668,138,2,11,bl,Gladbach ,Neuwied,Rheinprovinz,j,j,j,j,NA,not detected,Gladbach,Neuwied
671,138,2,17,a,Heimbach-Weis ,Neuwied,Rheinprovinz,NA,NA,j,j,NA,not detected,Heimbach-Weis,Neuwied
672,138,2,22,ac,Engers ,Neuwied,Rheinprovinz,j,j,j,j,NA,not detected,Engers,Neuwied
679,138,4,17,br,Kleinholbach ,Unterwesterwaldkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Kleinholbach,Girod
704,138,11,6,cl,Aull ,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Aull,Rhein-Lahn
723,138,16,18,b,Herold ,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Herold,Rhein-Lahn
724,138,16,19,bd,Klingelbach,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Klingelbach,Rhein-Lahn
733,138,21,3,b,Niederbachheim ,St. Goarshausen,Hessen-Nassau,j,j,j,j,NA,not detected,Niederbachheim,Rhein-Lahn
737,138,21,21,do,Wellmich ,St. Goarshausen,Hessen-Nassau,j,j,j,NA,NA,not detected,Wellmich,Sankt Goarshausen
750,138,27,2,cu,Sankt Goar ,St. Goar,Rheinprovinz,j,j,NA,NA,NA,not detected,St. Goar,
759,138,27,22,ao,Engehöll ,St. Goar,Rheinprovinz,j,j,j,NA,NA,not detected,Engehöll,Oberwesel
769,138,30,13,dr,Wiesbaden-Rambach,Wiesbaden,Hessen-Nassau,j,j,j,j,NA,not detected,Rambach ,
770,138,30,19,b,Wiesbaden-Heßloch,Wiesbaden,Hessen-Nassau,j,j,j,NA,NA,not detected,Heßloch,
775,138,33,14,co,Rheindiebach ,St. Goar,Rheinprovinz,j,j,NA,NA,NA,not detected,Rheindiebach,Oberdiebach
784,138,35,19,au,Eltville am Rhein,Rheingau,Hessen-Nassau,j,j,j,NA,NA,not detected,Eltville,
791,138,36,24,au,Mainz-Kastel,Mainz,Hessen,NA,j,j,j,NA,not detected,Kastel,
798,139,2,5,ab,Langgöns,Friedberg,Hessen,j,j,j,j,NA,not detected,Lang Göns,
800,139,2,10,c,Kirch-Göns,Friedberg,Hessen,j,j,NA,NA,NA,not detected,Kirchgöns,
801,139,2,15,a,Pohl-Göns,Friedberg,Hessen,j,j,j,j,NA,not detected,Pohlgöns,
802,139,2,17,b,Cleeberg,Wetzlar,Hessen-Nassau,j,j,j,j,NA,not detected,Kleeberg,
809,139,3,13,a,Ober-Hörgern,Gießen,Hessen,j,j,j,NA,NA,not detected,Ober Hörgern,
810,139,3,14,ar,Trais ,Friedberg,Hessen,j,j,j,j,NA,not detected,Trais-Münzenberg,Münzenberg
819,139,4,9,c,Langd ,Gießen,Hessen,j,j,j,j,NA,not detected,Landgd,Hungen
823,139,4,23,a,Unter-Widdersheim,Büdingen,Hessen,j,j,j,j,NA,not detected,Unter Widdersheim,
828,139,5,16,d,Unter-Schmitten,Büdingen,Hessen,j,j,j,j,NA,not detected,Unter Schmitten,
829,139,5,17,au,Ober-Schmitten,Schotten,Hessen,j,j,NA,j,NA,not detected,Ober Schmitten,
831,139,6,7,dl,Kaulstoß ,Schotten,Hessen,j,j,j,j,NA,not detected,Kaulstoß,Schotten
